anio,trimestre,servicio_id,ingresos
2025,1,SRV1,671895963.18
2014,1,SRV1,2984054.21
2014,2,SRV1,3270816.2
2014,3,SRV1,3478637.74
2014,4,SRV1,3950440.78
2015,1,SRV1,4876385.32
2015,2,SRV1,4701790.72
2015,3,SRV1,5153738.88
2015,4,SRV1,5376899.21
2016,1,SRV1,5936844.89
2016,2,SRV1,6534240.6
2016,3,SRV1,6912441.54
2016,4,SRV1,7483980.39
2017,1,SRV1,8701201.42
2017,2,SRV1,9678646.93
2017,3,SRV1,10065997.86
2017,4,SRV1,11226127.39
2018,1,SRV1,13171459.23
2018,2,SRV1,14319467.46
2018,3,SRV1,15410980.69
2018,4,SRV1,16637686.59
2019,1,SRV1,20207413.77
2019,2,SRV1,20743117.69
2019,3,SRV1,21652748.44
2019,4,SRV1,24169250.7
2020,1,SRV1,29946216.45
2020,2,SRV1,32102475.99
2020,3,SRV1,31997444.53
2020,4,SRV1,33539702.72
2021,1,SRV1,36676371.36
2021,2,SRV1,38239666.63
2021,3,SRV1,42999944.29
2021,4,SRV1,45467887.17
2022,1,SRV1,55219313.01
2022,2,SRV1,60419500.62
2022,3,SRV1,64086784.33
2022,4,SRV1,72443482.99
2023,1,SRV1,104134992.81
2023,2,SRV1,118060280.28
2023,3,SRV1,133106593.41
2023,4,SRV1,167376014.8
2024,1,SRV1,346198986.13
2024,2,SRV1,442032166.69
2024,3,SRV1,541734583.5
2024,4,SRV1,697603364.84
